repetition,client hostname,server hostname,timestamp,client ip,client port,server ip,server port,id,time interval,transferred bytes,bandwidth in bits/s
1,h1,h6,20210418220738.555,10.0.0.1,36676,10.0.0.2,5001,53,0.0-1.0,9568256,76546048
1,h1,h6,20210418220739.569,10.0.0.1,36676,10.0.0.2,5001,53,1.0-2.0,9043968,72351744
1,h1,h6,20210418220740.561,10.0.0.1,36676,10.0.0.2,5001,53,2.0-3.0,8912896,71303168
1,h1,h6,20210418220741.535,10.0.0.1,36676,10.0.0.2,5001,53,3.0-4.0,8781824,70254592
1,h1,h6,20210418220742.550,10.0.0.1,36676,10.0.0.2,5001,53,4.0-5.0,9175040,73400320
1,h1,h6,20210418220743.545,10.0.0.1,36676,10.0.0.2,5001,53,5.0-6.0,8912896,71303168
1,h1,h6,20210418220744.559,10.0.0.1,36676,10.0.0.2,5001,53,6.0-7.0,9043968,72351744
1,h1,h6,20210418220745.551,10.0.0.1,36676,10.0.0.2,5001,53,7.0-8.0,8912896,71303168
1,h1,h6,20210418220746.544,10.0.0.1,36676,10.0.0.2,5001,53,8.0-9.0,8781824,70254592
1,h1,h6,20210418220747.558,10.0.0.1,36676,10.0.0.2,5001,53,9.0-10.0,9175040,73400320
1,h1,h6,20210418220748.551,10.0.0.1,36676,10.0.0.2,5001,53,10.0-11.0,8912896,71303168
1,h1,h6,20210418220749.564,10.0.0.1,36676,10.0.0.2,5001,53,11.0-12.0,9043968,72351744
1,h1,h6,20210418220750.557,10.0.0.1,36676,10.0.0.2,5001,53,12.0-13.0,8912896,71303168
1,h1,h6,20210418220751.553,10.0.0.1,36676,10.0.0.2,5001,53,13.0-14.0,8912896,71303168
1,h1,h6,20210418220752.566,10.0.0.1,36676,10.0.0.2,5001,53,14.0-15.0,9043968,72351744
1,h1,h6,20210418220752.566,10.0.0.1,36676,10.0.0.2,5001,53,0.0-15.0,135135232,71953908
2,h1,h6,20210418220803.605,10.0.0.1,37750,10.0.0.2,5001,53,0.0-1.0,9568256,76546048
2,h1,h6,20210418220804.640,10.0.0.1,37750,10.0.0.2,5001,53,1.0-2.0,9043968,72351744
2,h1,h6,20210418220805.613,10.0.0.1,37750,10.0.0.2,5001,53,2.0-3.0,8912896,71303168
2,h1,h6,20210418220806.608,10.0.0.1,37750,10.0.0.2,5001,53,3.0-4.0,8781824,70254592
2,h1,h6,20210418220807.623,10.0.0.1,37750,10.0.0.2,5001,53,4.0-5.0,9175040,73400320
2,h1,h6,20210418220808.617,10.0.0.1,37750,10.0.0.2,5001,53,5.0-6.0,8912896,71303168
