repetition,client hostname,server hostname,timestamp,client ip,client port,server ip,server port,id,time interval,transferred bytes,bandwidth in bits/s
1,h1,h6,20210417142025.036,10.0.0.1,57860,10.0.0.2,5001,53,0.0-1.0,5524553728,44196429824
1,h1,h6,20210417142026.024,10.0.0.1,57860,10.0.0.2,5001,53,1.0-2.0,5604900864,44839206912
1,h1,h6,20210417142027.032,10.0.0.1,57860,10.0.0.2,5001,53,2.0-3.0,5644222464,45153779712
1,h1,h6,20210417142028.019,10.0.0.1,57860,10.0.0.2,5001,53,3.0-4.0,5527699456,44221595648
1,h1,h6,20210417142029.027,10.0.0.1,57860,10.0.0.2,5001,53,4.0-5.0,5333975040,42671800320
1,h1,h6,20210417142030.037,10.0.0.1,57860,10.0.0.2,5001,53,5.0-6.0,5547360256,44378882048
1,h1,h6,20210417142031.025,10.0.0.1,57860,10.0.0.2,5001,53,6.0-7.0,5573967872,44591742976
1,h1,h6,20210417142032.033,10.0.0.1,57860,10.0.0.2,5001,53,7.0-8.0,5517475840,44139806720
1,h1,h6,20210417142033.021,10.0.0.1,57860,10.0.0.2,5001,53,8.0-9.0,5670961152,45367689216
1,h1,h6,20210417142034.029,10.0.0.1,57860,10.0.0.2,5001,53,9.0-10.0,5618008064,44944064512
1,h1,h6,20210417142035.036,10.0.0.1,57860,10.0.0.2,5001,53,10.0-11.0,5593890816,44751126528
1,h1,h6,20210417142036.024,10.0.0.1,57860,10.0.0.2,5001,53,11.0-12.0,5503713280,44029706240
1,h1,h6,20210417142037.031,10.0.0.1,57860,10.0.0.2,5001,53,12.0-13.0,5644746752,45157974016
1,h1,h6,20210417142038.020,10.0.0.1,57860,10.0.0.2,5001,53,13.0-14.0,5195431936,41563455488
1,h1,h6,20210417142039.028,10.0.0.1,57860,10.0.0.2,5001,53,14.0-15.0,5651431424,45211451392
1,h1,h6,20210417142039.028,10.0.0.1,57860,10.0.0.2,5001,53,0.0-15.0,83152338944,44347819494
2,h1,h6,20210417142050.085,10.0.0.1,36620,10.0.0.2,5001,53,0.0-1.0,5367005184,42936041472
2,h1,h6,20210417142051.073,10.0.0.1,36620,10.0.0.2,5001,53,1.0-2.0,5837815808,46702526464
2,h1,h6,20210417142052.081,10.0.0.1,36620,10.0.0.2,5001,53,2.0-3.0,5722603520,45780828160
2,h1,h6,20210417142053.069,10.0.0.1,36620,10.0.0.2,5001,53,3.0-4.0,5693374464,45546995712
2,h1,h6,20210417142054.077,10.0.0.1,36620,10.0.0.2,5001,53,4.0-5.0,5682626560,45461012480
2,h1,h6,20210417142055.086,10.0.0.1,36620,10.0.0.2,5001,53,5.0-6.0,5835325440,46682603520
2,h1,h6,20210417142056.074,10.0.0.1,36620,10.0.0.2,5001,53,6.0-7.0,5643960320,45151682560
2,h1,h6,20210417142057.082,10.0.0.1,36620,10.0.0.2,5001,53,7.0-8.0,5697699840,45581598720
2,h1,h6,20210417142058.070,10.0.0.1,36620,10.0.0.2,5001,53,8.0-9.0,5722734592,45781876736
2,h1,h6,20210417142059.078,10.0.0.1,36620,10.0.0.2,5001,53,9.0-10.0,5785911296,46287290368
2,h1,h6,20210417142100.085,10.0.0.1,36620,10.0.0.2,5001,53,10.0-11.0,5845417984,46763343872
2,h1,h6,20210417142101.071,10.0.0.1,36620,10.0.0.2,5001,53,11.0-12.0,5760614400,46084915200
2,h1,h6,20210417142102.078,10.0.0.1,36620,10.0.0.2,5001,53,12.0-13.0,5770051584,46160412672
2,h1,h6,20210417142103.085,10.0.0.1,36620,10.0.0.2,5001,53,13.0-14.0,5765070848,46120566784
2,h1,h6,20210417142104.073,10.0.0.1,36620,10.0.0.2,5001,53,14.0-15.0,5750128640,46001029120
2,h1,h6,20210417142104.073,10.0.0.1,36620,10.0.0.2,5001,53,0.0-15.0,85880340480,45802723061
3,h1,h6,20210417142115.129,10.0.0.1,44062,10.0.0.2,5001,53,0.0-1.0,5464653824,43717230592
