repetition,client hostname,server hostname,timestamp,client ip,client port,server ip,server port,id,time interval,transferred bytes,bandwidth in bits/s
1,h1,h6,20210418202248.146,10.0.0.1,57356,10.0.0.2,5001,53,0.0-1.0,9437184,75497472
1,h1,h6,20210418202249.140,10.0.0.1,57356,10.0.0.2,5001,53,1.0-2.0,8781824,70254592
1,h1,h6,20210418202250.133,10.0.0.1,57356,10.0.0.2,5001,53,2.0-3.0,8912896,71303168
1,h1,h6,20210418202251.147,10.0.0.1,57356,10.0.0.2,5001,53,3.0-4.0,9175040,73400320
1,h1,h6,20210418202252.140,10.0.0.1,57356,10.0.0.2,5001,53,4.0-5.0,8781824,70254592
1,h1,h6,20210418202253.154,10.0.0.1,57356,10.0.0.2,5001,53,5.0-6.0,9175040,73400320
1,h1,h6,20210418202254.149,10.0.0.1,57356,10.0.0.2,5001,53,6.0-7.0,8912896,71303168
1,h1,h6,20210418202255.139,10.0.0.1,57356,10.0.0.2,5001,53,7.0-8.0,8781824,70254592
1,h1,h6,20210418202256.153,10.0.0.1,57356,10.0.0.2,5001,53,8.0-9.0,9175040,73400320
1,h1,h6,20210418202257.147,10.0.0.1,57356,10.0.0.2,5001,53,9.0-10.0,8781824,70254592
1,h1,h6,20210418202258.141,10.0.0.1,57356,10.0.0.2,5001,53,10.0-11.0,8912896,71303168
1,h1,h6,20210418202259.155,10.0.0.1,57356,10.0.0.2,5001,53,11.0-12.0,9175040,73400320
1,h1,h6,20210418202300.149,10.0.0.1,57356,10.0.0.2,5001,53,12.0-13.0,8781824,70254592
1,h1,h6,20210418202301.163,10.0.0.1,57356,10.0.0.2,5001,53,13.0-14.0,9175040,73400320
1,h1,h6,20210418202302.156,10.0.0.1,57356,10.0.0.2,5001,53,14.0-15.0,8781824,70254592
1,h1,h6,20210418202302.156,10.0.0.1,57356,10.0.0.2,5001,53,0.0-15.0,134742016,71791794
2,h1,h6,20210418202313.261,10.0.0.1,59254,10.0.0.2,5001,53,0.0-1.0,9568256,76546048
2,h1,h6,20210418202314.232,10.0.0.1,59254,10.0.0.2,5001,53,1.0-2.0,8912896,71303168
2,h1,h6,20210418202315.263,10.0.0.1,59254,10.0.0.2,5001,53,2.0-3.0,9043968,72351744
2,h1,h6,20210418202316.253,10.0.0.1,59254,10.0.0.2,5001,53,3.0-4.0,8912896,71303168
2,h1,h6,20210418202317.223,10.0.0.1,59254,10.0.0.2,5001,53,4.0-5.0,8781824,70254592
2,h1,h6,20210418202318.252,10.0.0.1,59254,10.0.0.2,5001,53,5.0-6.0,9175040,73400320
2,h1,h6,20210418202319.243,10.0.0.1,59254,10.0.0.2,5001,53,6.0-7.0,8912896,71303168
2,h1,h6,20210418202320.252,10.0.0.1,59254,10.0.0.2,5001,53,7.0-8.0,9175040,73400320
2,h1,h6,20210418202321.242,10.0.0.1,59254,10.0.0.2,5001,53,8.0-9.0,8650752,69206016
2,h1,h6,20210418202322.273,10.0.0.1,59254,10.0.0.2,5001,53,9.0-10.0,9306112,74448896
2,h1,h6,20210418202323.244,10.0.0.1,59254,10.0.0.2,5001,53,10.0-11.0,8650752,69206016
2,h1,h6,20210418202324.253,10.0.0.1,59254,10.0.0.2,5001,53,11.0-12.0,9175040,73400320
2,h1,h6,20210418202325.263,10.0.0.1,59254,10.0.0.2,5001,53,12.0-13.0,9043968,72351744
2,h1,h6,20210418202326.232,10.0.0.1,59254,10.0.0.2,5001,53,13.0-14.0,8650752,69206016
2,h1,h6,20210418202327.244,10.0.0.1,59254,10.0.0.2,5001,53,14.0-15.0,9043968,72351744
2,h1,h6,20210418202327.244,10.0.0.1,59254,10.0.0.2,5001,53,0.0-15.0,135004160,71934973
3,h1,h6,20210418202338.304,10.0.0.1,35192,10.0.0.2,5001,53,0.0-1.0,9568256,76546048
3,h1,h6,20210418202339.298,10.0.0.1,35192,10.0.0.2,5001,53,1.0-2.0,8912896,71303168
