repetition,client hostname,server hostname,timestamp,client ip,client port,server ip,server port,id,time interval,transferred bytes,bandwidth in bits/s
1,h1,h6,20210417154506.817,10.0.0.1,54008,10.0.0.2,5001,53,0.0-1.0,2934911344,23479290752
1,h1,h6,20210417154507.826,10.0.0.1,54008,10.0.0.2,5001,53,1.0-2.0,5970329600,47762636800
1,h1,h6,20210417154508.834,10.0.0.1,54008,10.0.0.2,5001,53,2.0-3.0,5981601792,47852814336
1,h1,h6,20210417154509.822,10.0.0.1,54008,10.0.0.2,5001,53,3.0-4.0,6011486208,48091889664
1,h1,h6,20210417154510.829,10.0.0.1,54008,10.0.0.2,5001,53,4.0-5.0,6017515520,48140124160
1,h1,h6,20210417154511.837,10.0.0.1,54008,10.0.0.2,5001,53,5.0-6.0,6089998336,48719986688
1,h1,h6,20210417154512.825,10.0.0.1,54008,10.0.0.2,5001,53,6.0-7.0,6100090880,48800727040
1,h1,h6,20210417154513.833,10.0.0.1,54008,10.0.0.2,5001,53,7.0-8.0,6207176704,49657413632
1,h1,h6,20210417154514.822,10.0.0.1,54008,10.0.0.2,5001,53,8.0-9.0,6172311552,49378492416
1,h1,h6,20210417154515.829,10.0.0.1,54008,10.0.0.2,5001,53,9.0-10.0,6053429248,48427433984
1,h1,h6,20210417154516.837,10.0.0.1,54008,10.0.0.2,5001,53,10.0-11.0,5866520576,46932164608
1,h1,h6,20210417154517.824,10.0.0.1,54008,10.0.0.2,5001,53,11.0-12.0,5868224512,46945796096
1,h1,h6,20210417154518.835,10.0.0.1,54008,10.0.0.2,5001,53,12.0-13.0,5974261760,47794094080
1,h1,h6,20210417154519.823,10.0.0.1,54008,10.0.0.2,5001,53,13.0-14.0,6031015936,48248127488
1,h1,h6,20210417154520.831,10.0.0.1,54008,10.0.0.2,5001,53,14.0-15.0,5889327104,47114616832
1,h1,h6,20210417154520.831,10.0.0.1,54008,10.0.0.2,5001,53,0.0-15.0,87168332144,46489684164
2,h1,h6,20210417154531.885,10.0.0.1,59972,10.0.0.2,5001,53,0.0-1.0,5510397952,44083183616
2,h1,h6,20210417154532.873,10.0.0.1,59972,10.0.0.2,5001,53,1.0-2.0,6050545664,48404365312
2,h1,h6,20210417154533.881,10.0.0.1,59972,10.0.0.2,5001,53,2.0-3.0,6083444736,48667557888
2,h1,h6,20210417154534.869,10.0.0.1,59972,10.0.0.2,5001,53,3.0-4.0,6152519680,49220157440
2,h1,h6,20210417154535.877,10.0.0.1,59972,10.0.0.2,5001,53,4.0-5.0,6065487872,48523902976
2,h1,h6,20210417154536.868,10.0.0.1,59972,10.0.0.2,5001,53,5.0-6.0,4911136768,39289094144
2,h1,h6,20210417154537.886,10.0.0.1,59972,10.0.0.2,5001,53,6.0-7.0,5641994240,45135953920
2,h1,h6,20210417154538.875,10.0.0.1,59972,10.0.0.2,5001,53,7.0-8.0,6129188864,49033510912
2,h1,h6,20210417154539.883,10.0.0.1,59972,10.0.0.2,5001,53,8.0-9.0,5971902464,47775219712
2,h1,h6,20210417154540.870,10.0.0.1,59972,10.0.0.2,5001,53,9.0-10.0,5948571648,47588573184
2,h1,h6,20210417154541.878,10.0.0.1,59972,10.0.0.2,5001,53,10.0-11.0,6124208128,48993665024
2,h1,h6,20210417154542.886,10.0.0.1,59972,10.0.0.2,5001,53,11.0-12.0,6153699328,49229594624
2,h1,h6,20210417154543.875,10.0.0.1,59972,10.0.0.2,5001,53,12.0-13.0,6090915840,48727326720
