src;dst;isDstRooted;dualAscentCost;dijkstraCost
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:01;true;9;8
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:02;true;7;6
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:03;true;9;7
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:04;true;9;9
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:05;true;8;8
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:06;true;6;6
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:07;true;8;5
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:08;true;7;6
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:09;true;9;6
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:0a;true;9;7
00:00:00:00:00:00:00:02;00:00:00:00:00:00:00:01;true;9;8
00:00:00:00:00:00:00:02;00:00:00:00:00:00:00:02;true;7;6
00:00:00:00:00:00:00:02;00:00:00:00:00:00:00:03;true;9;7
00:00:00:00:00:00:00:02;00:00:00:00:00:00:00:04;true;9;9
00:00:00:00:00:00:00:02;00:00:00:00:00:00:00:05;true;8;8
00:00:00:00:00:00:00:02;00:00:00:00:00:00:00:06;true;6;6
00:00:00:00:00:00:00:02;00:00:00:00:00:00:00:07;true;8;5
00:00:00:00:00:00:00:02;00:00:00:00:00:00:00:08;true;7;6
00:00:00:00:00:00:00:02;00:00:00:00:00:00:00:09;true;9;6
00:00:00:00:00:00:00:02;00:00:00:00:00:00:00:0a;true;9;7
00:00:00:00:00:00:00:03;00:00:00:00:00:00:00:01;true;9;8
00:00:00:00:00:00:00:03;00:00:00:00:00:00:00:02;true;7;6
00:00:00:00:00:00:00:03;00:00:00:00:00:00:00:03;true;9;7
00:00:00:00:00:00:00:03;00:00:00:00:00:00:00:04;true;9;9
00:00:00:00:00:00:00:03;00:00:00:00:00:00:00:05;true;8;8
00:00:00:00:00:00:00:03;00:00:00:00:00:00:00:06;true;6;6
00:00:00:00:00:00:00:03;00:00:00:00:00:00:00:07;true;8;5
00:00:00:00:00:00:00:03;00:00:00:00:00:00:00:08;true;7;6
00:00:00:00:00:00:00:03;00:00:00:00:00:00:00:09;true;9;6
00:00:00:00:00:00:00:03;00:00:00:00:00:00:00:0a;true;9;7
00:00:00:00:00:00:00:04;00:00:00:00:00:00:00:01;true;9;8
00:00:00:00:00:00:00:04;00:00:00:00:00:00:00:02;true;7;6
00:00:00:00:00:00:00:04;00:00:00:00:00:00:00:03;true;9;7
00:00:00:00:00:00:00:04;00:00:00:00:00:00:00:04;true;9;9
00:00:00:00:00:00:00:04;00:00:00:00:00:00:00:05;true;8;8
00:00:00:00:00:00:00:04;00:00:00:00:00:00:00:06;true;6;6
