src,dst,isDstRooted,dualAscentCost,dijkstraCost
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:01,true,732,640
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:02,true,730,636
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:03,true,556,554
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:04,true,733,636
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:05,true,732,637
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,730,632
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:07,true,362,349
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:08,true,729,635
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:09,true,404,396
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:0a,true,733,636
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:0b,true,732,635
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:0c,true,729,629
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:0d,true,729,631
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:0e,true,731,635
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:0f,true,731,633
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:10,true,736,632
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:11,true,731,625
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:12,true,729,628
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:13,true,729,631
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,730,633
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:01,true,732,640
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:02,true,730,636
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:03,true,556,554
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:04,true,733,636
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:05,true,732,637
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:06,true,730,632
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:07,true,362,349
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:08,true,729,635
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:09,true,404,396
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:0a,true,733,636
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:0b,true,732,635
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:0c,true,729,629
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:0d,true,729,631
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:0e,true,731,635
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:0f,true,731,633
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:10,true,736,632
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:11,true,731,625
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:12,true,729,628
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:13,true,729,631
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:14,true,730,633
00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:01,true,732,640
00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:02,true,730,636
00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:03,true,556,554
00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:04,true,733,636
00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:05,true,732,637
00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:06,true,730,632
00:00:00:00:00:00:00:03,00:00:00:00:00:00:00:07,true,362,349
