src,dst,isDstRooted,dualAscentCost,dijkstraCost
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:01,true,5,5
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:02,true,5,4
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:0b,true,4,3
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:0c,true,4,4
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:0d,true,4,5
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:0e,true,4,5
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:01,true,5,5
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:02,true,5,4
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:0b,true,4,3
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:0c,true,4,4
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:0d,true,4,5
00:00:00:00:00:00:00:02,00:00:00:00:00:00:00:0e,true,4,5
00:00:00:00:00:00:00:0b,00:00:00:00:00:00:00:01,true,5,5
00:00:00:00:00:00:00:0b,00:00:00:00:00:00:00:02,true,5,4
00:00:00:00:00:00:00:0b,00:00:00:00:00:00:00:0b,true,4,3
00:00:00:00:00:00:00:0b,00:00:00:00:00:00:00:0c,true,4,4
00:00:00:00:00:00:00:0b,00:00:00:00:00:00:00:0d,true,4,5
00:00:00:00:00:00:00:0b,00:00:00:00:00:00:00:0e,true,4,5
00:00:00:00:00:00:00:0c,00:00:00:00:00:00:00:01,true,5,5
00:00:00:00:00:00:00:0c,00:00:00:00:00:00:00:02,true,5,4
00:00:00:00:00:00:00:0c,00:00:00:00:00:00:00:0b,true,4,3
00:00:00:00:00:00:00:0c,00:00:00:00:00:00:00:0c,true,4,4
00:00:00:00:00:00:00:0c,00:00:00:00:00:00:00:0d,true,4,5
00:00:00:00:00:00:00:0c,00:00:00:00:00:00:00:0e,true,4,5
00:00:00:00:00:00:00:0d,00:00:00:00:00:00:00:01,true,5,5
00:00:00:00:00:00:00:0d,00:00:00:00:00:00:00:02,true,5,4
00:00:00:00:00:00:00:0d,00:00:00:00:00:00:00:0b,true,4,3
00:00:00:00:00:00:00:0d,00:00:00:00:00:00:00:0c,true,4,4
00:00:00:00:00:00:00:0d,00:00:00:00:00:00:00:0d,true,4,5
00:00:00:00:00:00:00:0d,00:00:00:00:00:00:00:0e,true,4,5
00:00:00:00:00:00:00:0e,00:00:00:00:00:00:00:01,true,5,5
00:00:00:00:00:00:00:0e,00:00:00:00:00:00:00:02,true,5,4
00:00:00:00:00:00:00:0e,00:00:00:00:00:00:00:0b,true,4,3
00:00:00:00:00:00:00:0e,00:00:00:00:00:00:00:0c,true,4,4
00:00:00:00:00:00:00:0e,00:00:00:00:00:00:00:0d,true,4,5
00:00:00:00:00:00:00:0e,00:00:00:00:00:00:00:0e,true,4,5
