src;dst;cost
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:06;75
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:14;52
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:01;136
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:14;61
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:01;75
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:06;23
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:06;77
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:14;52
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:01;136
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:14;61
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:01;75
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:06;25
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:06;77
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:14;52
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:01;70
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:14;61
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:01;9
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:06;25
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:06;21
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:14;10
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:01;30
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:14;21
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:01;9
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:06;11
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:06;25
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:14;14
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:01;30
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:14;21
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:01;9
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:06;11
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:06;36
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:14;16
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:01;52
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:14;21
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:01;31
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:06;20
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:06;66
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:14;39
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:01;70
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:14;29
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:01;41
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:06;27
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:06;75
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:14;48
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:01;79
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:14;29
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:01;50
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:06;27
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:06;82
00:00:00:00:00:00:00:01;00:00:00:00:00:00:00:14;51
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:01;100
00:00:00:00:00:00:00:06;00:00:00:00:00:00:00:14;34
00:00:00:00:00:00:00:14;00:00:00:00:00:00:00:01;66
