src,dst,isDstRooted,dualAscentCost,dijkstraCost
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,0,0
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,0,0
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,146,0
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,0,0
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:01,true,146,0
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:06,true,0,0
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,0,0
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,0,0
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,146,0
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,0,0
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:01,true,146,0
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:06,true,0,0
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,0,0
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,0,0
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,66,0
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,0,0
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:01,true,66,0
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:06,true,0,0
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,0,16
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,0,16
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,0,0
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,0,0
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:01,true,0,0
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:06,true,0,0
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,0,16
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,0,16
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,0,0
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,0,0
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:01,true,0,0
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:06,true,0,0
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,0,16
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,0,16
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,0,25
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,0,11
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:01,true,0,14
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:06,true,0,0
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,0,16
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,0,16
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,49,25
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,0,11
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:01,true,49,14
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:06,true,0,0
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,0,48
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,0,16
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,0,48
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,0,34
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:01,true,0,14
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:06,true,0,32
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,66,168
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,45,98
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,103,158
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,97,49
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:01,true,66,109
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:06,true,90,70
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,38,176
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,50,106
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,50,158
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,100,49
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:01,true,66,109
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:06,true,104,70
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,70,305
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,113,170
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,157,298
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,130,118
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:01,true,146,180
00:00:00:00:00:00:00:14,00:00:00:00:00:00:00:06,true,216,135
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:06,true,70,305
00:00:00:00:00:00:00:01,00:00:00:00:00:00:00:14,true,96,170
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:01,true,157,298
00:00:00:00:00:00:00:06,00:00:00:00:00:00:00:14,true,131,118
